command category,command name,command setting,Command,command remarks,Command Class,Module Command Index,SubCmd,reserved,Para1[0],Para1[1],Para1[2],Para1[3],Para2[0],Para2[1],Para2[2],Para2[3],Len[0],Len[1],"Reserved, write a fixed value of 0x0000","Reserved, write a fixed value of 0x0000",CRC check result of instruction data part,CRC check result of instruction data part,Instruction data part (merged)
Shutter related,Shutter Correction,,,,0x10,0x02,0x43,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xCF,0xC8,10 02 43 00 00 00 00 00 00 00 00 00 00 00 00 00 CF C8
Shutter related,Background Correction,,,,0x01,0x10,0x52,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x24,0xFD,01 10 52 00 00 00 00 00 00 00 00 00 00 00 00 00 24 FD
Shutter related,Close the shutter,,,,0x01,0x0F,0x45,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x8D,0x5A,01 0F 45 00 00 00 00 00 00 00 00 00 00 00 00 00 8D 5A
Shutter related,Open shutter,,,,0x01,0x0F,0x45,0x00,0x01,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xF8,0x59,01 0F 45 00 01 00 00 00 00 00 00 00 00 00 00 00 F8 59
Shutter related,Auto Shutter,Settings - Off,Auto Shutter [Settings - Off], Return when getting: BE AA 02 00 0000 AD FA EB AA: Indicates off BE AA 02 00 00 01 8C EA EB AA: indicates open,0x10,0x02,0x41,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x0D,0x3E,10 02 41 00 00 00 00 00 00 00 00 00 00 00 00 00 0D 3E
Shutter related,Automatic shutter switch,Setting-On,Automatic shutter switch [Setting-On], Return when getting: BE AA 02 00 0000 AD FA EB AA: Indicates off BE AA 02 00 00 01 8C EA EB AA: indicates open,0x10,0x02,0x41,0x00,0x01,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x78,0x3D,10 02 41 00 01 00 00 00 00 00 00 00 00 00 00 00 78 3D
Shutter related,Automatic shutter switch,Get,Automatic shutter switch [Get], Return when getting: BE AA 02 00 0000 AD FA EB AA: Indicates off BE AA 02 00 00 01 8C EA EB AA: indicates open,0x10,0x02,0x81,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x78,0x34,10 02 81 00 00 00 00 00 00 00 00 00 01 00 00 00 78 34
Shutter related,Automatic shutter parameters,Setting - Temperature 10,Automatic shutter parameters [Setting - Temperature 10],"Configuration values are: Para1[2], Para1[1] 0x0a 0x00 represents 10 temperature values, approximately 10/32=0.3125 degrees",0x10,0x02,0x42,0x00,0x00,0x0A,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x93,0xb1,10 02 42 00 00 0A 00 00 00 00 00 00 00 00 00 00 93 b1
Shutter related,Automatic shutter parameters,Setting - Temperature 50,Automatic shutter parameters [Setting - Temperature 50],"Configuration values are: Para1[2], Para1[1] 0x32 0x00 means 50 temperature values, about 50/32=1.56 degrees",0x10,0x02,0x42,0x00,0x00,0x32,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x5A,0xEC,10 02 42 00 00 32 00 00 00 00 00 00 00 00 00 00 5A EC
Shutter related,Automatic shutter parameters,Setting - minimum interval time 1s,Automatic shutter parameters [Setting - minimum interval time 1s],"Configuration value: Para1[2], Para1[1] 0x01 0x00 means 1s",0x10,0x02,0x42,0x00,0x01,0x01,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x92,0x68,10 02 42 00 01 01 00 00 00 00 00 00 00 00 00 00 92 68
Shutter related,Automatic shutter parameters,Setting - Maximum interval time 120s,Automatic shutter parameters [Setting - Maximum interval time 120s],"Configuration value: Para1[2], Para1[1] 0x78 0x00 means 120s",0x10,0x02,0x42,0x00,0x02,0x78,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x58,0xac,10 02 42 00 02 78 00 00 00 00 00 00 00 00 00 00 58 ac
Shutter related,Automatic shutter parameters,Setting - Maximum interval time 360s,Automatic shutter parameters [Setting - Maximum interval time 360s],"Configuration value: Para1[2], Para1[1] 0x68 0x01 means 360s",0x10,0x02,0x42,0x00,0x02,0x68,0x01,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x20,0x96,10 02 42 00 02 68 01 00 00 00 00 00 00 00 00 00 20 96
